trial_id,number_of_countries,min_end_date,max_end_date,comp_date,has_results,includes_pip,rare_disease,phase,bioequivalence_study,health_volunteers,trial_status,terminated,sponsor_status,name_of_sponsor
2004-000100-40,5,2007-11-29,2007-11-29,3,1,0,2,2,0,0,2,1,1,Novo Nordisk AS
2004-000106-41,1,,,0,0,0,0,2,0,0,1,0,1,GlaxoSmithKline Research & Development Ltd
2004-000107-18,1,,,0,0,0,0,3,0,0,0,0,1,Alliance Pharmaceuticals
2004-000108-42,1,,,0,0,0,0,3,0,0,0,0,1,Alliance Pharmaceuticals
2004-000113-18,3,,,0,1,0,0,3,0,0,1,1,2,Novartis Pharma AG
2004-000114-40,3,2007-06-29,2007-06-29,1,1,0,0,3,0,0,1,1,1,Novartis Pharma AG
2004-000119-24,2,2006-03-29,2006-03-29,1,1,0,0,2,0,0,2,0,1,Bristol-Myers Squibb International Corporation
2004-000120-32,11,2008-11-18,2009-08-28,6,1,0,0,3,0,0,2,0,1,Schering-Plough Research Institute
2004-000134-37,8,2009-03-28,2009-03-28,5,1,0,0,3,0,0,2,0,1,Amgen Inc
2004-000137-11,10,2011-03-24,2011-03-24,4,1,0,0,3,0,0,2,0,1,MERCK S.P.A.
2004-000138-35,13,2008-05-30,2008-10-14,9,1,0,2,3,0,0,2,0,1,Amgen Inc
2004-000139-27,1,2006-07-31,2006-07-31,1,1,0,0,3,0,0,1,0,1,Pfizer AB
2004-000140-25,1,,,0,0,0,0,3,0,0,0,0,1,Procter & Gamble Pharmaceuticals
2004-000142-20,5,2006-08-08,2006-08-08,2,0,0,2,3,0,0,2,1,1,Procter & Gamble Pharmaceuticals
2004-000145-38,3,2006-11-03,2006-11-03,1,1,0,0,2,0,0,2,0,1,Centocor B.V.
2004-000148-26,7,2008-12-19,2008-12-19,5,1,0,0,3,0,0,2,0,1,SCHWARZ PHARMA
2004-000149-39,1,2010-06-18,2010-06-18,1,1,0,0,3,0,0,1,0,1,Genzyme Corporation
2004-000152-16,7,2010-08-05,2010-08-05,4,1,0,0,3,0,0,2,0,1,SCHWARZ BIOSCIENCES GmbH; A member of the UCB group
2004-000156-16,3,2006-12-02,2006-12-02,2,1,0,0,3,0,0,2,1,1,Pfizer SA
2004-000160-28,1,,,0,0,0,0,4,0,0,0,0,0,Department of Health
2004-000166-13,6,,,0,0,0,0,3,0,0,2,0,2,International Breast Cancer Study Group (IBCSG)
2004-000167-95,3,2008-01-23,2008-01-23,3,1,0,0,3,0,0,1,0,1,Eli Lilly and Company Limited
2004-000168-28,3,,,0,0,0,0,3,0,0,2,0,2,International Breast Cancer Study Group (IBCSG)
2004-000172-13,6,2010-01-08,2010-01-26,4,1,0,1,3,0,0,2,0,1,AMGEN S.P.A.
2004-000173-65,2,2006-12-21,2006-12-21,1,1,0,1,3,0,0,2,0,1,Amgen Inc
2004-000174-31,2,2006-09-05,2006-09-05,1,1,0,1,3,0,0,2,0,1,Amgen Inc
2004-000185-12,5,2008-11-11,2008-11-11,4,1,0,0,3,0,0,2,0,1,"Orion Corporation, ORION PHARMA, 02200 Espoo, Finland"
2004-000186-35,1,2007-05-31,2007-05-31,1,1,0,0,3,0,0,1,0,1,Novartis Pharma GmbH
2004-000195-13,1,,,0,0,0,0,2,0,1,4,0,1,Novartis Vaccines and Diagnostics
2004-000199-14,5,2007-03-22,2007-03-22,1,1,0,2,3,0,0,2,0,1,UCB S.A.  Pharma Sector
2004-000200-40,5,,,0,1,0,0,3,0,0,2,0,1,UCB S.A. Pharma Sector
2004-000202-49,4,2007-12-12,2007-12-12,1,1,0,0,3,0,0,2,0,1,Bristol-Myers Squibb International Corporation
2004-000211-26,1,,,0,1,0,0,2,0,0,1,0,1,AstraZeneca AB
2004-000213-19,2,2008-01-21,2008-01-21,2,1,0,0,4,0,0,1,0,1,Lundbeck SA
2004-000219-24,5,2007-11-08,2007-11-08,1,1,0,2,4,0,0,2,1,1,Wyeth Pharmaceuticals
2004-000231-29,2,,,0,1,0,0,0,0,0,3,0,1,Roche Products Ltd
2004-000232-91,3,2015-02-26,2015-02-26,1,0,0,0,3,0,0,2,0,2,FRESENIUS BIOTECH GMBH
2004-000235-28,1,,,0,0,0,0,3,0,0,0,0,1,Sepracor Inc.
2004-000238-36,2,,,0,1,0,0,3,0,0,0,0,0,The University of Edinburgh & Lothian Health Board
2004-000240-25,4,2005-06-27,2005-06-27,1,1,0,2,2,0,0,2,0,1,Novartis Sverige AB
2004-000242-20,7,2013-06-17,2013-06-17,1,0,0,2,3,0,0,2,0,0,University Hospital Ghent
2004-000243-23,2,2007-01-25,2007-05-09,2,0,0,1,2,0,0,1,0,1,Genmab A/S
2004-000244-24,5,,,0,1,0,0,2,0,0,2,0,2,"Pfizer, S.A."
2004-000245-38,1,,,0,0,0,0,3,0,0,0,0,0,ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS (AP-HP)
2004-000248-25,3,2007-04-04,2007-04-04,1,1,0,0,3,0,0,1,0,1,Novartis Pharma AG
2004-000254-23,4,2005-11-24,2005-11-24,1,0,0,3,2,0,0,2,0,1,Alizyme Therapeutics Limited
2004-000280-99,2,,,0,0,0,0,3,0,0,1,0,1,"Ark Therapeutics, Ltd."
2004-000282-35,3,,,0,1,0,0,3,0,0,2,0,1,ROCHE
2004-000283-27,1,,,0,1,0,1,2,0,0,0,0,1,Vertex Pharmaceuticals Incorporated
2004-000288-89,1,,,0,1,0,0,3,0,0,0,0,1,ALTANA Pharma AG
2004-000290-58,1,,,0,1,0,0,3,0,0,4,0,1,SCHWARZ BIOSCIENCES GmbH
2004-000299-15,2,,,0,1,0,0,2,0,0,0,0,1,"Algeta ASA, Oslo, Norway"
2004-000304-41,6,2006-12-28,2006-12-28,5,1,0,2,3,0,0,1,0,1,FUJISAWA
2004-000305-21,7,2006-08-28,2006-09-05,5,1,0,0,2,0,0,2,0,1,Solvay Pharmaceuticals
2004-000306-46,3,,,0,1,0,0,3,0,0,2,0,1,Fujisawa GmbH
2004-000311-26,5,2005-11-10,2005-11-10,1,1,0,0,3,0,0,1,0,1,"UAB \""Merck Sharp & Dohme\"
2004-000312-93,5,2007-01-31,2007-03-09,3,1,0,2,3,0,0,2,0,1,Merck Sharp & Dohme (Sweden) AB
2004-000313-19,2,2007-03-09,2007-03-09,1,1,0,0,3,0,0,2,0,1,Merck Sharp & Dohme Limited
2004-000315-26,4,2007-07-31,2007-10-01,3,1,0,0,3,0,0,2,0,1,ROCHE
2004-000320-32,4,2010-04-16,2010-04-16,2,1,0,0,4,0,0,2,1,1,H. Lundbeck A/S
2004-000326-70,1,,,0,1,0,0,3,0,0,1,0,1,"Janssen-Cilag, Johnson & Johnson spol. s.r.o."
2004-000327-15,4,2006-12-06,2006-12-06,1,1,0,2,3,0,0,2,1,1,HELSINN HEALTHCARE SA
2004-000329-31,1,,,0,0,0,3,3,0,0,0,0,0,E.O.R.T.C. - EUROPEAN ORGANIZATION FOR RESEARCH AND TREATMENT OF CANCER
2004-000330-36,2,,,0,0,0,2,3,0,0,0,0,1,"TELIK, INC."
2004-000333-10,1,2006-03-01,2006-03-01,1,1,0,3,4,0,1,1,0,0,"Research & Innovation Services, University of Dundee"
2004-000335-28,5,2006-03-20,2006-03-20,2,1,0,0,0,0,0,2,0,1,SERONO INTERNATIONAL SA
2004-000336-81,1,,,0,0,0,0,3,0,0,1,1,1,GLAXO SMITHKLINE
2004-000337-12,1,,,0,1,0,0,4,0,0,0,0,1,Serono International SA
2004-000344-24,4,2009-02-06,2009-02-25,3,1,0,0,2,0,0,2,0,1,AstraZeneca AB
2004-000345-38,5,2007-09-13,2007-09-13,4,0,0,0,3,0,0,1,0,1,Basilea Pharmaceutica Ltd
2004-000346-21,3,,,0,0,0,0,3,0,0,2,0,1,SOLVAY PHARMACEUTICALS GMBH
2004-000347-14,4,2006-12-14,2007-03-02,2,1,0,0,3,0,0,2,0,1,AstraZeneca Sverige
2004-000348-25,1,2006-03-03,2006-03-03,1,1,0,0,3,0,0,1,0,1,ASTRAZENECA
2004-000349-40,1,2005-10-18,2005-10-18,1,0,0,3,3,0,0,1,0,1,ELI LILLY
2004-000350-24,2,2006-07-31,2006-07-31,1,1,0,0,0,0,0,2,0,1,AstraZeneca AB
2004-000352-16,6,,,0,1,0,0,2,0,0,2,0,1,AstraZeneca R&D
2004-000353-38,5,,,0,0,0,2,3,0,0,2,1,1,Wilex AG
2004-000354-22,5,2006-09-19,2006-09-19,1,1,0,0,3,0,0,2,0,1,Pfizer S.A.
2004-000356-17,6,2008-07-22,2008-10-22,4,1,0,2,0,0,0,2,0,1,Ipsen Scandinavia
2004-000358-21,2,,,0,1,0,1,2,0,0,1,0,1,AstraZeneca AB
2004-000359-41,2,,,0,1,0,0,2,0,0,1,0,1,AstraZeneca AB
2004-000361-35,2,2008-04-10,2008-04-10,2,1,0,0,2,0,0,1,1,1,EISAI LTD UK
2004-000362-12,1,,,0,0,0,0,2,0,0,1,0,1,Kowa Research Europe Ltd
2004-000363-10,1,,,0,1,0,0,4,0,0,1,0,1,Wyeth Pharmaceuticals
2004-000365-35,2,,,0,1,0,0,3,0,0,0,0,1,Pfizer S.A
2004-000367-98,8,2007-01-17,2007-01-31,3,1,0,2,0,0,0,2,0,1,GlaxoSmithKline Research and Development Limited
2004-000368-28,7,2007-02-28,2007-02-28,4,1,0,0,2,0,0,2,0,1,GlaxoSmithKline Group of Companies
2004-000369-37,4,2005-12-16,2005-12-16,1,1,0,0,2,0,0,2,0,1,GlaxoSmithKline Group of Companies
2004-000370-31,4,2005-08-04,2005-08-04,1,1,0,0,2,0,0,2,0,1,GlaxoSmithKline Group of Companies
2004-000371-34,5,2005-12-09,2006-01-18,2,1,0,0,2,0,0,1,0,1,GlaxoSmithKline Group of Companies
2004-000374-31,1,2006-07-21,2006-07-21,1,1,0,3,2,0,0,1,0,1,GLAXO SMITHKLINE
2004-000376-14,1,,,0,1,0,3,3,0,0,1,0,1,NOVARTIS FARMA
2004-000379-32,3,2007-03-23,2007-10-31,2,1,0,0,2,0,0,2,0,2,AstraZeneca AB
2004-000383-27,1,,,0,1,0,0,2,0,0,1,0,1,AstraZeneca AB
2004-000384-10,2,,,0,0,0,1,2,0,0,0,0,1,AstraZeneca AB
2004-000390-59,2,,,0,1,0,2,2,0,0,2,1,1,Schering Plough Research Institute
2004-000394-60,2,,,0,0,0,1,2,0,0,1,1,1,A. Carlsson Research AB
2004-000397-31,1,2006-12-11,2006-12-11,1,1,0,0,4,0,1,1,0,1,Wyeth Vaccines Research
2004-000398-76,1,,,0,0,0,0,2,0,0,0,0,1,"MADAUS, S.A."
2004-000404-40,3,,,0,1,0,2,3,0,0,2,0,1,Bayer plc
2004-000405-22,1,,,0,0,0,1,2,0,0,0,0,0,Medical Research Council
2004-000406-51,7,2007-05-31,2007-05-31,3,1,0,0,2,0,0,2,0,1,Sepsicure LLC
2004-000408-41,2,,,0,0,0,0,3,0,0,2,0,1,"Ribapharm, Inc."
2004-000411-25,1,,,0,0,0,3,2,0,0,0,0,0,G.O.N.O. - GRUPPO ONCOLOGICO NORD OVEST
2004-000414-39,2,,,0,1,0,0,4,0,0,1,0,1,Mundipharma OY
2004-000415-26,5,2006-10-10,2007-12-31,2,0,0,2,2,0,0,2,1,1,Sigma-Tau Industrie Farmaceutiche Riunite S.p.A.
2004-000417-18,1,,,0,0,0,0,3,0,0,0,0,0,Southampton University Hospitals NHS Trust
2004-000422-73,1,,,0,0,0,0,3,0,0,1,0,1,FARMACEUTICI DAMOR
2004-000424-32,1,,,0,1,0,0,2,0,0,0,0,1,Merck Sharp & Dohme BV
2004-000432-85,4,2007-02-01,2007-05-21,2,0,0,0,3,0,0,2,0,2,Basilea Pharmaceutica Ltd
2004-000438-35,1,2007-07-06,2007-07-06,1,0,0,1,3,0,0,1,0,1,NPS Allelix Corporation
2004-000439-27,1,2008-01-24,2008-01-24,1,0,0,1,3,0,0,1,0,1,NPS Allelix Corporation
2004-000440-24,1,,,0,1,0,1,2,0,0,1,0,1,Cephalon UK Limited
2004-000441-38,3,2007-07-11,2007-07-11,1,0,0,0,3,0,0,2,1,0,"National Institute of Allergy and Infectious Diseases, National Institutes of Health"
2004-000442-21,1,,,0,0,0,0,2,0,0,1,0,1,Solvay Pharmaceuticals GmbH
2004-000443-17,2,,,0,0,0,0,3,0,0,2,0,1,"Idenix Pharmaceuticals, Inc."
2004-000446-20,2,2011-01-30,2011-01-30,1,1,0,0,3,0,0,2,0,0,Imperial College
2004-000448-26,1,,,0,0,0,0,3,0,0,0,0,1,Axcan Pharma Inc. (Axcan Pharma International BV is subsidiary of Axcan Pharma Inc.)
2004-000450-23,2,,,0,1,0,0,3,0,0,1,0,1,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development"
2004-000452-16,4,2009-10-27,2009-10-27,1,1,0,0,3,0,0,1,0,2,"Otsuka Pharmaceutical Development & Commercialization, Inc."
2004-000457-34,5,2006-08-11,2006-08-11,3,1,0,0,3,0,0,2,0,1,Fujisawa GmbH
2004-000462-13,2,,,0,1,0,2,2,0,0,1,0,1,TEVA Pharmaceutical Industries Ltd.
2004-000463-94,2,,,0,1,0,2,2,0,0,1,0,1,TEVA Pharmaceutical Industries Ltd.
2004-000464-28,4,2008-06-10,2008-06-10,3,0,0,1,3,0,0,1,0,1,Ark Therapeutics Limited
2004-000469-36,3,2006-01-17,2006-01-17,1,1,0,0,2,0,2,2,0,1,ORGANON ITALIA
2004-000472-14,5,2005-11-07,2005-12-22,2,1,0,0,2,0,0,2,0,1,Organon Hungary Ltd.
2004-000476-13,2,,,0,1,0,2,3,0,0,2,0,1,SCHWARZ PHARMA
2004-000478-30,8,2011-02-11,2011-02-11,4,1,0,1,3,0,0,2,0,1,Actelion Pharmaceuticals Ltd
2004-000480-10,5,2010-01-14,2010-01-14,2,0,0,0,3,0,0,2,1,1,"Cell Therapeutics, Inc. Sede Secondaria"
2004-000482-35,2,2006-12-08,2006-12-08,1,1,0,0,2,0,0,2,0,1,GlaxoSmithKline Research & Development Ltd.
2004-000483-27,3,,,0,1,0,0,3,0,0,2,0,1,Bial – Portela & Cª S.A.
2004-000485-13,6,2010-03-19,2010-03-19,2,0,0,1,3,0,0,2,0,1,Procter & Gamble Ltd
2004-000486-35,1,,,0,0,0,0,3,0,0,0,0,1,Procter & Gamble Pharmaceuticals
2004-000487-27,3,2005-03-15,2005-03-15,1,1,0,0,0,0,0,1,0,1,Merck Sharp & Dohme (Sweden) AB
2004-000488-83,10,2008-05-15,2008-05-15,8,1,0,0,3,0,0,2,0,1,"Schering-Plough Research Institute, a Division of Schering Corporation"
2004-000492-33,3,,,0,1,0,0,3,0,0,1,0,1,ALTANA Pharma AG
2004-000493-32,3,,,0,1,0,0,3,0,0,2,0,1,ALTANA Pharma AG
2004-000495-14,1,,,0,0,0,0,2,0,0,0,0,3,ASTRAZENECA
2004-000499-16,1,,,0,0,0,0,2,0,0,1,0,1,Novatreat Ltd
2004-000501-21,1,,,0,1,0,1,2,0,0,0,0,1,XTL Biopharmaceuticals
2004-000502-40,1,,,0,0,0,0,2,0,0,0,0,0,Southampton University Hospitals Trust
2004-000506-52,9,2009-06-02,2009-06-02,8,1,0,0,3,0,0,1,0,2,Sankyo Pharma GmbH
2004-000507-17,1,,,0,0,0,3,2,0,0,0,0,0,FONDAZIONE SANTA LUCIA
2004-000509-24,4,2006-06-15,2006-06-15,2,1,0,0,2,0,0,2,0,1,Amgen Inc
2004-000511-25,1,,,0,1,0,0,2,0,0,1,0,1,Amgen Inc
2004-000512-17,3,2008-05-14,2008-05-14,3,1,0,0,3,0,0,1,0,1,Amgen Inc
2004-000514-38,1,,,0,1,0,0,3,0,0,1,0,1,Novo Nordisk Pharmaceuticals Ltd
2004-000517-19,1,,,0,0,0,0,4,0,0,0,0,0,Blackpool Fylde & Wyre Healthcare NHS Trust
2004-000518-37,2,,,0,1,0,0,3,0,1,2,0,1,GlaxoSmithKline SA
2004-000520-32,1,,,0,1,0,0,3,0,0,0,0,1,Fujisawa GmbH
2004-000526-75,1,,,0,1,0,1,3,0,0,0,0,1,Aspreva pharmaceuticals Corporation
2004-000530-37,3,2005-04-05,2005-04-05,1,1,0,0,3,0,0,1,0,1,Serono International S.A.
2004-000532-85,1,2007-12-13,2007-12-13,1,0,0,0,4,0,0,1,0,0,"Penine Acute NHS Trust, North Manchester General Hospital"
2004-000534-36,3,,,0,0,0,0,3,0,0,0,0,1,Laboratoires Expanscience
2004-000535-29,6,,,0,1,0,0,3,0,0,2,1,1,SERONO INTERNATIONAL SA
2004-000537-11,2,2006-03-28,2006-03-28,1,1,0,0,3,0,0,1,0,1,ZLB Behring AG
2004-000539-27,3,2007-07-11,2007-07-11,2,1,0,0,3,0,0,1,0,1,Novartis Sverige AB
2004-000540-24,6,2008-03-03,2008-04-17,4,1,0,0,3,0,0,1,0,1,Novartis Pharma Services AG
2004-000541-38,1,,,0,1,0,0,3,0,0,1,0,1,NOVARTIS FARMA
2004-000542-20,7,2006-01-24,2009-03-02,4,1,0,0,3,0,0,2,0,2,Novartis Pharma Services AG
2004-000551-42,4,2011-01-05,2011-01-05,4,1,0,0,3,0,0,1,0,1,SCHWARZ PHARMA
2004-000555-42,9,2010-09-01,2010-09-01,6,1,0,0,3,0,0,2,0,1,"Sanofi-Aventis US, Inc."
2004-000557-35,1,,,0,0,0,0,2,0,0,0,0,1,Newron Pharmaceuticals SpA
2004-000558-22,2,2013-01-10,2013-01-10,1,1,0,0,3,0,0,2,0,1,Schering-Plough Research Insitute
2004-000562-13,2,,,0,1,0,0,3,0,0,1,0,1,Wyeth Research Division of Wyeth Pharmaceuticals Inc. Clinical Research and Development
2004-000563-96,9,2008-03-11,2008-06-25,3,1,0,0,4,0,0,2,0,1,Wyeth Pharmaceuticals
2004-000564-28,11,2008-09-30,2008-09-30,1,1,0,0,0,0,0,2,1,1,ROCHE
2004-000565-34,1,,,0,0,0,3,2,0,0,0,0,0,"AZIENDA SANITARIA OSPEDALIERA \""S. GIOVANNI BATTISTA DI TORINO\"
2004-000566-12,1,,,0,1,0,0,2,0,0,1,0,1,AstraZeneca AB
2004-000572-14,4,2009-04-17,2009-04-17,1,1,0,0,2,0,0,2,0,1,AVENTIS PHARMA S.P.A.
2004-000573-54,3,2009-04-07,2009-04-07,1,0,0,0,3,0,0,2,0,1,Eli Lilly and Company Ltd
2004-000576-13,1,,,0,1,0,0,2,0,0,0,0,1,GlaxoSmithKline Research & Development Limited
2004-000577-65,1,,,0,0,0,0,3,0,0,0,0,1,Eli Lilly and Company
2004-000580-10,1,,,0,1,0,0,4,0,0,1,0,1,Oy Eli Lilly Finland Ab
2004-000585-13,8,,,0,1,0,0,3,0,0,2,0,1,"MedImmune Vaccines, Inc."
2004-000587-26,3,2005-09-17,2005-09-17,1,1,0,1,2,0,0,1,0,1,Novartis Pharma Services AG
2004-000589-11,1,,,0,1,0,0,4,0,0,0,0,1,ELI LILLY and COMPANY
2004-000592-33,6,2009-07-29,2009-07-29,4,0,0,1,3,0,0,2,0,2,Gentium S.p.A
2004-000593-32,5,2005-09-12,2005-09-12,2,1,0,0,3,0,0,2,0,1,Ferring Pharmaceuticals A/S
2004-000596-34,4,2006-09-04,2006-09-04,2,1,0,1,3,0,0,2,0,1,F. Hoffmann-La Roche Ltd as part of the Aspreva Rare Disease Program
2004-000597-31,2,2009-07-31,2009-07-31,1,1,0,2,2,0,0,2,0,1,Novartis Pharmaceuticals UK Ltd
2004-000602-44,1,,,0,0,0,0,1,0,0,0,0,1,"Pierre Fabre Ibérica, S.A."
2004-000603-18,1,,,0,0,0,3,3,0,0,1,0,0,AZIENDA OSPEDALIERA UMBERTO I
2004-000607-17,4,,,0,1,0,1,2,0,0,1,0,1,SEATTLE GENETICS INC.
2004-000608-42,1,,,0,0,0,0,3,0,0,1,0,0,University of Sheffield
2004-000609-23,1,,,0,0,0,3,2,0,0,1,0,1,BIOXELL SPA
2004-000610-39,3,2006-09-15,2006-09-15,1,1,0,0,2,0,0,2,0,1,GlaxoSmithKline Research and Development Ltd.
2004-000611-25,2,2007-01-17,2007-01-17,1,1,0,0,3,0,0,2,1,1,"Otsuka Maryland Research Institute, Inc."
2004-000612-54,1,,,0,1,0,0,2,0,0,1,0,1,Merck Sharp & Dohme (Sweden) AB
2004-000614-39,2,2007-03-12,2007-05-10,2,1,0,2,3,0,0,1,0,1,MERCK SHARP DOHME
2004-000616-70,8,2006-11-09,2007-02-05,4,1,0,0,3,0,0,2,0,2,Aventis Pharma Finland
2004-000617-19,9,2008-12-18,2008-12-18,4,1,0,0,3,0,0,2,0,1,"Johnson & Johnson, Pharmaceutical Research and Development"
2004-000618-38,1,,,0,0,0,0,3,0,0,0,0,1,Aventis Pharmaceuticals Inc.
2004-000622-67,1,,,0,1,0,1,2,0,0,0,0,1,Wyeth Research Division of Wyeth Pharmaceuticals Inc.
2004-000623-16,2,2005-12-15,2005-12-15,1,0,0,0,4,0,0,1,0,1,n.v. Boehringer Ingelheim s.a.
2004-000625-30,2,,,0,0,0,0,3,0,0,3,0,1,INO Therapeutics
2004-000629-32,3,2010-10-22,2014-03-31,3,0,0,0,3,0,0,1,1,0,University of Oxford
2004-000630-37,5,2007-02-15,2007-02-15,2,1,0,0,2,0,0,2,0,1,Schering Nordiska AB
2004-000631-28,1,,,0,1,0,1,3,0,0,1,0,1,ACTELION PHARMACEUTICALS ITALIA
2004-000632-82,2,2009-01-26,2009-01-26,1,1,0,1,3,0,0,2,0,1,Actelion Pharmaceuticals Ltd.
2004-000638-35,2,2008-01-23,2008-01-23,1,1,0,0,3,0,0,1,0,1,Novartis Sverige AB
2004-000642-21,1,,,0,0,0,1,3,0,0,4,0,1,BioMarin Pharmaceutical Inc.
2004-000644-25,2,,,0,0,0,2,0,0,0,2,1,1,INSMED INCORPORATED
2004-000645-37,4,,,0,0,0,0,1,0,0,2,0,1,Amgen Inc
2004-000646-20,4,2005-12-27,2005-12-27,1,1,0,1,3,0,0,2,0,1,ALEXION PHARMACEUTICALS INCORPORATED
2004-000647-24,1,,,0,0,0,3,2,0,0,0,0,0,"Dept. Oncology, Aarhus University Hospital"
2004-000649-39,3,,,0,1,0,0,2,0,0,1,0,1,MERCK S.P.A.
2004-000651-42,1,,,0,0,0,0,2,0,0,0,0,1,ProstaLundOperations AB
2004-000654-23,3,,,0,0,0,0,3,0,0,2,1,0,EORTC
2004-000655-41,1,,,0,1,0,1,3,0,0,0,0,1,Novartis Farmacéutica S.A
2004-000658-22,1,,,0,1,0,0,2,0,0,0,0,0,"University of Oxford, NDM"
2004-000663-99,3,2006-03-31,2006-03-31,1,1,0,0,2,0,0,1,0,1,Biogen Idec Ltd
2004-000664-27,1,,,0,1,0,0,2,0,0,0,0,1,Novartis Farmaceutica S.A.
2004-000665-35,1,,,0,0,0,0,2,0,0,0,0,1,Pierre Fabre Medicament
2004-000669-36,1,,,0,0,0,3,2,0,0,0,0,0,"AZIENDA SANITARIA OSPEDALIERA \""S. GIOVANNI BATTISTA DI TORINO\"
2004-000671-34,4,,,0,1,0,0,3,0,0,2,0,1,Novartis Pharmaceuticals UK Ltd
2004-000673-57,1,,,0,0,0,0,2,0,0,1,0,1,Baxter Healthcare S.A.
2004-000675-34,1,,,0,0,0,0,3,0,0,0,0,0,University Medical Center Utrecht
2004-000676-13,1,,,0,0,0,0,2,0,0,1,0,1,Baxter Healthcare S.A.
2004-000677-62,4,2005-06-28,2005-06-28,1,1,0,0,3,0,0,1,0,1,Novartis Pharma AG
2004-000678-30,1,,,0,0,0,0,2,0,0,0,0,1,Baxter Healthcare S.A.
2004-000679-32,1,2006-12-19,2006-12-19,1,1,0,0,3,0,0,1,0,1,AstraZeneca Oy
2004-000683-27,1,,,0,1,0,0,4,0,0,1,0,0,Research and Innovation Services
2004-000684-10,1,,,0,0,0,0,2,0,0,1,0,1,"Meiji Seika Kaisha, Ltd."
2004-000686-35,1,,,0,0,0,0,3,0,0,1,1,1,Novartis Pharma AG
2004-000687-27,3,,,0,0,0,0,3,0,0,2,1,1,Novartis Pharma AG
2004-000690-63,1,,,0,0,0,3,4,0,0,1,1,1,CRINOS S.P.A.
2004-000691-13,1,,,0,1,0,0,2,0,0,0,0,1,Lilly S.A.
2004-000693-31,1,,,0,0,0,0,3,0,0,1,1,1,Colotech A/S
2004-000696-34,1,2005-10-17,2005-10-17,1,1,0,0,2,0,0,1,0,1,"Daiichi Pharmaceutical Co., Ltd"
2004-000700-41,3,2006-02-16,2006-02-16,1,1,0,0,3,0,0,2,0,1,GALDERMA R&D
